sample	read1	read2
tumor02	/cluster/projects/bhklab/rawdata/Hansen_human/202008/m6A_Ribo/tumor02_INPUT_R1.fastq.gz	/cluster/projects/bhklab/rawdata/Hansen_human/202008/m6A_Ribo/tumor02_INPUT_R2.fastq.gz
tumor03	/cluster/projects/bhklab/rawdata/Hansen_human/202008/m6A_Ribo/tumor03_INPUT_R1.fastq.gz	/cluster/projects/bhklab/rawdata/Hansen_human/202008/m6A_Ribo/tumor03_INPUT_R2.fastq.gz
tumor04	/cluster/projects/bhklab/rawdata/Hansen_human/202008/m6A_Ribo/tumor04_INPUT_R1.fastq.gz	/cluster/projects/bhklab/rawdata/Hansen_human/202008/m6A_Ribo/tumor04_INPUT_R2.fastq.gz
tumor05	/cluster/projects/bhklab/rawdata/Hansen_human/202008/m6A_Ribo/tumor05_INPUT_R1.fastq.gz	/cluster/projects/bhklab/rawdata/Hansen_human/202008/m6A_Ribo/tumor05_INPUT_R2.fastq.gz
tumor06	/cluster/projects/bhklab/rawdata/Hansen_human/202008/m6A_Ribo/tumor06_INPUT_R1.fastq.gz	/cluster/projects/bhklab/rawdata/Hansen_human/202008/m6A_Ribo/tumor06_INPUT_R2.fastq.gz
tumor07	/cluster/projects/bhklab/rawdata/Hansen_human/202008/m6A_Ribo/tumor07_INPUT_R1.fastq.gz	/cluster/projects/bhklab/rawdata/Hansen_human/202008/m6A_Ribo/tumor07_INPUT_R2.fastq.gz
tumor08	/cluster/projects/bhklab/rawdata/Hansen_human/202008/m6A_Ribo/tumor08_INPUT_R1.fastq.gz	/cluster/projects/bhklab/rawdata/Hansen_human/202008/m6A_Ribo/tumor08_INPUT_R2.fastq.gz
tumor09	/cluster/projects/bhklab/rawdata/Hansen_human/202008/m6A_Ribo/tumor09_INPUT_R1.fastq.gz	/cluster/projects/bhklab/rawdata/Hansen_human/202008/m6A_Ribo/tumor09_INPUT_R2.fastq.gz
tumor10	/cluster/projects/bhklab/rawdata/Hansen_human/202008/m6A_Ribo/tumor10_INPUT_R1.fastq.gz	/cluster/projects/bhklab/rawdata/Hansen_human/202008/m6A_Ribo/tumor10_INPUT_R2.fastq.gz
tumor11	/cluster/projects/bhklab/rawdata/Hansen_human/202008/m6A_Ribo/tumor11_INPUT_R1.fastq.gz	/cluster/projects/bhklab/rawdata/Hansen_human/202008/m6A_Ribo/tumor11_INPUT_R2.fastq.gz
tumor12	/cluster/projects/bhklab/rawdata/Hansen_human/202008/m6A_Ribo/tumor12_INPUT_R1.fastq.gz	/cluster/projects/bhklab/rawdata/Hansen_human/202008/m6A_Ribo/tumor12_INPUT_R2.fastq.gz
tumor13	/cluster/projects/bhklab/rawdata/Hansen_human/202008/m6A_Ribo/tumor13_INPUT_R1.fastq.gz	/cluster/projects/bhklab/rawdata/Hansen_human/202008/m6A_Ribo/tumor13_INPUT_R2.fastq.gz
tumor14	/cluster/projects/bhklab/rawdata/Hansen_human/202008/m6A_Ribo/tumor14_INPUT_R1.fastq.gz	/cluster/projects/bhklab/rawdata/Hansen_human/202008/m6A_Ribo/tumor14_INPUT_R2.fastq.gz
tumor15	/cluster/projects/bhklab/rawdata/Hansen_human/202008/m6A_Ribo/tumor15_INPUT_R1.fastq.gz	/cluster/projects/bhklab/rawdata/Hansen_human/202008/m6A_Ribo/tumor15_INPUT_R2.fastq.gz
tumor16	/cluster/projects/bhklab/rawdata/Hansen_human/202008/m6A_Ribo/tumor16_INPUT_R1.fastq.gz	/cluster/projects/bhklab/rawdata/Hansen_human/202008/m6A_Ribo/tumor16_INPUT_R2.fastq.gz
tumor17	/cluster/projects/bhklab/rawdata/Hansen_human/202008/m6A_Ribo/tumor17_INPUT_R1.fastq.gz	/cluster/projects/bhklab/rawdata/Hansen_human/202008/m6A_Ribo/tumor17_INPUT_R2.fastq.gz
tumor18	/cluster/projects/bhklab/rawdata/Hansen_human/202008/m6A_Ribo/tumor18_INPUT_R1.fastq.gz	/cluster/projects/bhklab/rawdata/Hansen_human/202008/m6A_Ribo/tumor18_INPUT_R2.fastq.gz
tumor19	/cluster/projects/bhklab/rawdata/Hansen_human/202008/m6A_Ribo/tumor19_INPUT_R1.fastq.gz	/cluster/projects/bhklab/rawdata/Hansen_human/202008/m6A_Ribo/tumor19_INPUT_R2.fastq.gz
tumor20	/cluster/projects/bhklab/rawdata/Hansen_human/202008/m6A_Ribo/tumor20_INPUT_R1.fastq.gz	/cluster/projects/bhklab/rawdata/Hansen_human/202008/m6A_Ribo/tumor20_INPUT_R2.fastq.gz
tumor21	/cluster/projects/bhklab/rawdata/Hansen_human/202008/m6A_Ribo/tumor21_INPUT_R1.fastq.gz	/cluster/projects/bhklab/rawdata/Hansen_human/202008/m6A_Ribo/tumor21_INPUT_R2.fastq.gz
tumor22	/cluster/projects/bhklab/rawdata/Hansen_human/202008/m6A_Ribo/tumor22_INPUT_R1.fastq.gz	/cluster/projects/bhklab/rawdata/Hansen_human/202008/m6A_Ribo/tumor22_INPUT_R2.fastq.gz
tumor23	/cluster/projects/bhklab/rawdata/Hansen_human/202008/m6A_Ribo/tumor23_INPUT_R1.fastq.gz	/cluster/projects/bhklab/rawdata/Hansen_human/202008/m6A_Ribo/tumor23_INPUT_R2.fastq.gz
tumor24	/cluster/projects/bhklab/rawdata/Hansen_human/202008/m6A_Ribo/tumor24_INPUT_R1.fastq.gz	/cluster/projects/bhklab/rawdata/Hansen_human/202008/m6A_Ribo/tumor24_INPUT_R2.fastq.gz
tumor25	/cluster/projects/bhklab/rawdata/Hansen_human/202008/m6A_Ribo/tumor25_INPUT_R1.fastq.gz	/cluster/projects/bhklab/rawdata/Hansen_human/202008/m6A_Ribo/tumor25_INPUT_R2.fastq.gz
tumor26	/cluster/projects/bhklab/rawdata/Hansen_human/202008/m6A_Ribo/tumor26_INPUT_R1.fastq.gz	/cluster/projects/bhklab/rawdata/Hansen_human/202008/m6A_Ribo/tumor26_INPUT_R2.fastq.gz
tumor27	/cluster/projects/bhklab/rawdata/Hansen_human/202008/m6A_Ribo/tumor27_INPUT_R1.fastq.gz	/cluster/projects/bhklab/rawdata/Hansen_human/202008/m6A_Ribo/tumor27_INPUT_R2.fastq.gz
tumor28	/cluster/projects/bhklab/rawdata/Hansen_human/202008/m6A_Ribo/tumor28_INPUT_R1.fastq.gz	/cluster/projects/bhklab/rawdata/Hansen_human/202008/m6A_Ribo/tumor28_INPUT_R2.fastq.gz
tumor29	/cluster/projects/bhklab/rawdata/Hansen_human/202008/m6A_Ribo/tumor29_INPUT_R1.fastq.gz	/cluster/projects/bhklab/rawdata/Hansen_human/202008/m6A_Ribo/tumor29_INPUT_R2.fastq.gz
tumor30	/cluster/projects/bhklab/rawdata/Hansen_human/202008/m6A_Ribo/tumor30_INPUT_R1.fastq.gz	/cluster/projects/bhklab/rawdata/Hansen_human/202008/m6A_Ribo/tumor30_INPUT_R2.fastq.gz
tumor31	/cluster/projects/bhklab/rawdata/Hansen_human/202008/m6A_Ribo/tumor31_INPUT_R1.fastq.gz	/cluster/projects/bhklab/rawdata/Hansen_human/202008/m6A_Ribo/tumor31_INPUT_R2.fastq.gz
tumor32	/cluster/projects/bhklab/rawdata/Hansen_human/202008/m6A_Ribo/tumor32_INPUT_R1.fastq.gz	/cluster/projects/bhklab/rawdata/Hansen_human/202008/m6A_Ribo/tumor32_INPUT_R2.fastq.gz
tumor33	/cluster/projects/bhklab/rawdata/Hansen_human/202008/m6A_Ribo/tumor33_INPUT_R1.fastq.gz	/cluster/projects/bhklab/rawdata/Hansen_human/202008/m6A_Ribo/tumor33_INPUT_R2.fastq.gz
tumor34	/cluster/projects/bhklab/rawdata/Hansen_human/202008/m6A_Ribo/tumor34_INPUT_R1.fastq.gz	/cluster/projects/bhklab/rawdata/Hansen_human/202008/m6A_Ribo/tumor34_INPUT_R2.fastq.gz
tumor35	/cluster/projects/bhklab/rawdata/Hansen_human/202008/m6A_Ribo/tumor35_INPUT_R1.fastq.gz	/cluster/projects/bhklab/rawdata/Hansen_human/202008/m6A_Ribo/tumor35_INPUT_R2.fastq.gz
tumor36	/cluster/projects/bhklab/rawdata/Hansen_human/202008/m6A_Ribo/tumor36_INPUT_R1.fastq.gz	/cluster/projects/bhklab/rawdata/Hansen_human/202008/m6A_Ribo/tumor36_INPUT_R2.fastq.gz
tumor37	/cluster/projects/bhklab/rawdata/Hansen_human/202008/m6A_Ribo/tumor37_INPUT_R1.fastq.gz	/cluster/projects/bhklab/rawdata/Hansen_human/202008/m6A_Ribo/tumor37_INPUT_R2.fastq.gz
tumor38	/cluster/projects/bhklab/rawdata/Hansen_human/202008/m6A_Ribo/tumor38_INPUT_R1.fastq.gz	/cluster/projects/bhklab/rawdata/Hansen_human/202008/m6A_Ribo/tumor38_INPUT_R2.fastq.gz
tumor39	/cluster/projects/bhklab/rawdata/Hansen_human/202008/m6A_Ribo/tumor39_INPUT_R1.fastq.gz	/cluster/projects/bhklab/rawdata/Hansen_human/202008/m6A_Ribo/tumor39_INPUT_R2.fastq.gz
tumor40	/cluster/projects/bhklab/rawdata/Hansen_human/202008/m6A_Ribo/tumor40_INPUT_R1.fastq.gz	/cluster/projects/bhklab/rawdata/Hansen_human/202008/m6A_Ribo/tumor40_INPUT_R2.fastq.gz
tumor41	/cluster/projects/bhklab/rawdata/Hansen_human/202008/m6A_Ribo/tumor41_INPUT_R1.fastq.gz	/cluster/projects/bhklab/rawdata/Hansen_human/202008/m6A_Ribo/tumor41_INPUT_R2.fastq.gz
tumor42	/cluster/projects/bhklab/rawdata/Hansen_human/202008/m6A_Ribo/tumor42_INPUT_R1.fastq.gz	/cluster/projects/bhklab/rawdata/Hansen_human/202008/m6A_Ribo/tumor42_INPUT_R2.fastq.gz
tumor43	/cluster/projects/bhklab/rawdata/Hansen_human/202008/m6A_Ribo/tumor43_INPUT_R1.fastq.gz	/cluster/projects/bhklab/rawdata/Hansen_human/202008/m6A_Ribo/tumor43_INPUT_R2.fastq.gz
tumor44	/cluster/projects/bhklab/rawdata/Hansen_human/202008/m6A_Ribo/tumor44_INPUT_R1.fastq.gz	/cluster/projects/bhklab/rawdata/Hansen_human/202008/m6A_Ribo/tumor44_INPUT_R2.fastq.gz
tumor45	/cluster/projects/bhklab/rawdata/Hansen_human/202008/m6A_Ribo/tumor45_INPUT_R1.fastq.gz	/cluster/projects/bhklab/rawdata/Hansen_human/202008/m6A_Ribo/tumor45_INPUT_R2.fastq.gz
tumor46	/cluster/projects/bhklab/rawdata/Hansen_human/202008/m6A_Ribo/tumor46_INPUT_R1.fastq.gz	/cluster/projects/bhklab/rawdata/Hansen_human/202008/m6A_Ribo/tumor46_INPUT_R2.fastq.gz
tumor47	/cluster/projects/bhklab/rawdata/Hansen_human/202008/m6A_Ribo/tumor47_INPUT_R1.fastq.gz	/cluster/projects/bhklab/rawdata/Hansen_human/202008/m6A_Ribo/tumor47_INPUT_R2.fastq.gz
tumor48	/cluster/projects/bhklab/rawdata/Hansen_human/202008/m6A_Ribo/tumor48_INPUT_R1.fastq.gz	/cluster/projects/bhklab/rawdata/Hansen_human/202008/m6A_Ribo/tumor48_INPUT_R2.fastq.gz
tumor49	/cluster/projects/bhklab/rawdata/Hansen_human/202008/m6A_Ribo/tumor49_INPUT_R1.fastq.gz	/cluster/projects/bhklab/rawdata/Hansen_human/202008/m6A_Ribo/tumor49_INPUT_R2.fastq.gz
tumor50	/cluster/projects/bhklab/rawdata/Hansen_human/202008/m6A_Ribo/tumor50_INPUT_R1.fastq.gz	/cluster/projects/bhklab/rawdata/Hansen_human/202008/m6A_Ribo/tumor50_INPUT_R2.fastq.gz
tumor51	/cluster/projects/bhklab/rawdata/Hansen_human/202008/m6A_Ribo/tumor51_INPUT_R1.fastq.gz	/cluster/projects/bhklab/rawdata/Hansen_human/202008/m6A_Ribo/tumor51_INPUT_R2.fastq.gz
tumor52	/cluster/projects/bhklab/rawdata/Hansen_human/202008/m6A_Ribo/tumor52_INPUT_R1.fastq.gz	/cluster/projects/bhklab/rawdata/Hansen_human/202008/m6A_Ribo/tumor52_INPUT_R2.fastq.gz
tumor53	/cluster/projects/bhklab/rawdata/Hansen_human/202008/m6A_Ribo/tumor53_INPUT_R1.fastq.gz	/cluster/projects/bhklab/rawdata/Hansen_human/202008/m6A_Ribo/tumor53_INPUT_R2.fastq.gz
tumor54	/cluster/projects/bhklab/rawdata/Hansen_human/202008/m6A_Ribo/tumor54_INPUT_R1.fastq.gz	/cluster/projects/bhklab/rawdata/Hansen_human/202008/m6A_Ribo/tumor54_INPUT_R2.fastq.gz
tumor55	/cluster/projects/bhklab/rawdata/Hansen_human/202008/m6A_Ribo/tumor55_INPUT_R1.fastq.gz	/cluster/projects/bhklab/rawdata/Hansen_human/202008/m6A_Ribo/tumor55_INPUT_R2.fastq.gz
